"Observation station","Year","Month","Day","Time [UTC]","Average temperature [°C]","Maximum temperature [°C]","Minimum temperature [°C]","Average relative humidity [%]","Wind speed [m/s]","Maximum wind speed [m/s]"
"Helsinki Kumpula","2021","2","25","11:00","3.2","3.4","2.8","100","4.9","5.9"
"Helsinki Kumpula","2021","2","25","12:00","3.1","3.3","2.8","99","4.6","5.2"
"Helsinki Kumpula","2021","2","25","13:00","3","3.2","2.8","99","4.4","5.3"
"Helsinki Kumpula","2021","2","25","14:00","2.8","3.1","2.6","99","4.7","5.4"
"Helsinki Kumpula","2021","2","25","15:00","2.6","2.8","2.3","99","3.9","4.6"
"Helsinki Kumpula","2021","2","25","16:00","2.2","2.6","1.9","99","5.2","5.8"
"Helsinki Kumpula","2021","2","25","17:00","2","2.2","1.8","100","4.7","5.6"
"Helsinki Kumpula","2021","2","25","18:00","2.2","2.4","2.1","100","4.8","5.3"
"Helsinki Kumpula","2021","2","25","19:00","2.2","2.4","2","100","4.7","5"
"Helsinki Kumpula","2021","2","25","20:00","2.2","2.4","1.9","100","4.9","5.4"
"Helsinki Kumpula","2021","2","25","21:00","2.5","2.7","2.3","100","4.7","5.2"
"Helsinki Kumpula","2021","2","25","22:00","2.7","2.9","2.4","100","4.5","5"
"Helsinki Kumpula","2021","2","25","23:00","2.7","2.9","2.5","100","4.3","4.6"
"Helsinki Kumpula","2021","2","26","00:00","2.7","3","2.5","100","4.5","4.8"
"Helsinki Kumpula","2021","2","26","01:00","3.1","3.4","2.7","100","4.6","5"
"Helsinki Kumpula","2021","2","26","02:00","3.1","3.6","2.5","100","4.7","5.7"
"Helsinki Kumpula","2021","2","26","03:00","3.5","3.7","3.3","99","5.4","6.1"
"Helsinki Kumpula","2021","2","26","04:00","3.4","3.6","3.1","98","6","6.7"
"Helsinki Kumpula","2021","2","26","05:00","3.2","3.4","3","97","6.9","7.6"
"Helsinki Kumpula","2021","2","26","06:00","3","3.3","2.7","96","6","7.2"
"Helsinki Kumpula","2021","2","26","07:00","3","3.1","2.7","96","6.2","7"
"Helsinki Kumpula","2021","2","26","08:00","3.1","3.3","2.9","94","6.2","6.7"
"Helsinki Kumpula","2021","2","26","09:00","3.3","3.5","3.1","92","5.4","6"
"Helsinki Kumpula","2021","2","26","10:00","3.4","3.6","3.2","91","5.7","-"
"Helsinki Kumpula","2021","2","26","11:00","3.2","3.3","3","91","5.8","-"
"Helsinki Kumpula","2021","2","26","12:00","3.4","3.7","3.1","89","5.1","6.6"
"Helsinki Kumpula","2021","2","26","13:00","3.4","3.7","3.2","88","5","6.5"
"Helsinki Kumpula","2021","2","26","14:00","3.4","3.7","3.2","88","3.4","4.5"
"Helsinki Kumpula","2021","2","26","15:00","3.5","4","3.2","87","3.8","5.1"
"Helsinki Kumpula","2021","2","26","16:00","3.2","3.6","3","89","3.5","4.6"
"Helsinki Kumpula","2021","2","26","17:00","3.2","3.6","2.9","90","3.8","4.5"
"Helsinki Kumpula","2021","2","26","18:00","3.1","3.4","2.7","90","4.8","5.5"
"Helsinki Kumpula","2021","2","26","19:00","3.6","3.8","3.3","86","5.6","6.2"
"Helsinki Kumpula","2021","2","26","20:00","3.4","3.6","3.3","87","5","5.6"
"Helsinki Kumpula","2021","2","26","21:00","3.3","3.4","3.1","86","5.6","6.9"
"Helsinki Kumpula","2021","2","26","22:00","3","3.1","2.9","85","6.8","7.5"
"Helsinki Kumpula","2021","2","26","23:00","2.8","3","2.6","83","5","6.4"
"Helsinki Kumpula","2021","2","27","00:00","2.2","2.6","1.7","85","4.8","5.3"
"Helsinki Kumpula","2021","2","27","01:00","1.8","2","1.7","85","5.6","6.3"
"Helsinki Kumpula","2021","2","27","02:00","1.6","1.9","1.5","85","5.5","6.2"
"Helsinki Kumpula","2021","2","27","03:00","1.2","1.5","1","85","5","5.6"
"Helsinki Kumpula","2021","2","27","04:00","0.8","1","0.6","84","5.5","6.3"
"Helsinki Kumpula","2021","2","27","05:00","0.5","0.7","0.3","83","5","5.4"
"Helsinki Kumpula","2021","2","27","06:00","0.3","0.5","0.2","82","-","-"
"Helsinki Kumpula","2021","2","27","07:00","0.7","1.1","0.4","79","5.2","6.3"
"Helsinki Kumpula","2021","2","27","08:00","1.6","1.9","1.2","73","5.9","6.5"
"Helsinki Kumpula","2021","2","27","09:00","2.3","2.8","1.9","71","4.8","5.7"
"Helsinki Kumpula","2021","2","27","10:00","3","3.5","2.7","68","5.5","6.8"
"Helsinki Kumpula","2021","2","27","11:00","3.8","4.2","3.5","64","4.9","5.8"
"Helsinki Kumpula","2021","2","27","12:00","4.4","4.8","4","60","4.6","5.7"
"Helsinki Kumpula","2021","2","27","13:00","5","5.6","4.7","54","5.3","6.6"
"Helsinki Kumpula","2021","2","27","14:00","5.3","5.5","5.2","53","5.5","6.6"
"Helsinki Kumpula","2021","2","27","15:00","4.7","5.3","3.7","54","5.2","6.4"
"Helsinki Kumpula","2021","2","27","16:00","3","3.7","2.1","64","4.5","5"
"Helsinki Kumpula","2021","2","27","17:00","2.1","2.4","1.7","68","5.2","5.7"
"Helsinki Kumpula","2021","2","27","18:00","1.9","2.2","1.6","71","5.4","6.3"
"Helsinki Kumpula","2021","2","27","19:00","2.1","2.4","1.8","72","5.4","6.3"
"Helsinki Kumpula","2021","2","27","20:00","1.7","2.1","1","76","4.8","5.3"
"Helsinki Kumpula","2021","2","27","21:00","0.8","1","0.7","93","3.9","5.1"
"Helsinki Kumpula","2021","2","27","22:00","0.8","0.9","0.7","94","4.3","5.3"
"Helsinki Kumpula","2021","2","27","23:00","0.8","1","0.5","94","4.6","6.8"
"Helsinki Kumpula","2021","2","28","00:00","1","1.1","0.8","94","6","6.5"
"Helsinki Kumpula","2021","2","28","01:00","1.3","1.7","0.9","93","5.8","6.5"
"Helsinki Kumpula","2021","2","28","02:00","1.5","1.7","1.3","89","6.4","7.3"
"Helsinki Kumpula","2021","2","28","03:00","1.5","1.8","1.3","88","6.2","6.8"
"Helsinki Kumpula","2021","2","28","04:00","1.4","1.7","1.2","88","6.2","6.5"
"Helsinki Kumpula","2021","2","28","05:00","1.5","1.7","1.3","88","6","6.4"
"Helsinki Kumpula","2021","2","28","06:00","2.1","2.8","1.4","86","6.1","7.1"
"Helsinki Kumpula","2021","2","28","07:00","3.2","3.8","2.6","82","6.3","7.2"
"Helsinki Kumpula","2021","2","28","08:00","4.6","5.3","3.8","76","6.7","7.3"
"Helsinki Kumpula","2021","2","28","09:00","5.9","6.4","5.3","71","5.5","6.1"
"Helsinki Kumpula","2021","2","28","10:00","6.6","6.9","6.3","68","5.1","6.7"
"Helsinki Kumpula","2021","2","28","11:00","7.2","7.7","6.9","64","5.8","6.6"
"Helsinki Kumpula","2021","2","28","12:00","7.8","8","7.5","61","6.1","7"
"Helsinki Kumpula","2021","2","28","13:00","8.2","8.5","8","59","5.5","6.3"
"Helsinki Kumpula","2021","2","28","14:00","8.5","8.8","8.2","58","4","6.1"
"Helsinki Kumpula","2021","2","28","15:00","8.1","8.5","7.3","60","3.6","4.8"
"Helsinki Kumpula","2021","2","28","16:00","6.5","7.2","5.9","66","3.5","4"
"Helsinki Kumpula","2021","2","28","17:00","4.7","5.8","4.2","74","3.8","4.3"
"Helsinki Kumpula","2021","2","28","18:00","4.1","4.4","3.8","78","3.9","4.3"
"Helsinki Kumpula","2021","2","28","19:00","3.6","4.2","3.1","81","4","4.3"
"Helsinki Kumpula","2021","2","28","20:00","3","3.2","2.8","86","4.4","4.9"
"Helsinki Kumpula","2021","2","28","21:00","3.2","3.5","2.9","86","4.8","5.6"
"Helsinki Kumpula","2021","2","28","22:00","2.7","3.1","2.3","88","4.3","4.8"
"Helsinki Kumpula","2021","2","28","23:00","2.2","2.5","2","89","4.8","5.2"
"Helsinki Kumpula","2021","3","1","00:00","2","2.3","1.8","89","4.7","4.8"
"Helsinki Kumpula","2021","3","1","01:00","1.9","2.1","1.6","89","5","5.5"
"Helsinki Kumpula","2021","3","1","02:00","2","2.2","1.8","88","5","5.5"
"Helsinki Kumpula","2021","3","1","03:00","1.7","2","1.5","89","5.1","5.6"
"Helsinki Kumpula","2021","3","1","04:00","1.4","1.7","0.9","89","4.8","5.3"
"Helsinki Kumpula","2021","3","1","05:00","1.1","1.4","0.8","91","4.7","5.2"
"Helsinki Kumpula","2021","3","1","06:00","1.3","1.5","1.1","89","5","5.9"
"Helsinki Kumpula","2021","3","1","07:00","1.5","1.8","1.3","87","4.9","5.5"
"Helsinki Kumpula","2021","3","1","08:00","1.8","2.2","1.5","86","4.5","5.3"
"Helsinki Kumpula","2021","3","1","09:00","2.8","3.5","2.2","80","5.3","5.8"
"Helsinki Kumpula","2021","3","1","10:00","4.3","4.8","3.5","72","4.3","5.5"
"Helsinki Kumpula","2021","3","1","11:00","5","5.4","4.7","69","3","3.8"
"Helsinki Kumpula","2021","3","1","12:00","5","5.4","4.5","70","2.5","3"
"Helsinki Kumpula","2021","3","1","13:00","5.1","5.7","4.4","69","5.3","6.1"
"Helsinki Kumpula","2021","3","1","14:00","5.6","5.8","5.2","66","5.5","6"
"Helsinki Kumpula","2021","3","1","15:00","5.6","6.1","5.1","65","5.4","6"
"Helsinki Kumpula","2021","3","1","16:00","4.6","5.2","4.2","70","5.3","6.4"
"Helsinki Kumpula","2021","3","1","17:00","4.4","4.7","4","71","6","6.9"
"Helsinki Kumpula","2021","3","1","18:00","4.3","4.6","3.9","71","6.6","7.6"
"Helsinki Kumpula","2021","3","1","19:00","3.6","4.3","3.2","73","5.3","5.9"
"Helsinki Kumpula","2021","3","1","20:00","3.7","4","3.3","72","6.1","6.6"
"Helsinki Kumpula","2021","3","1","21:00","3.8","4","3.5","72","5.8","7"
"Helsinki Kumpula","2021","3","1","22:00","3.8","4","3.5","72","5.5","6.3"
"Helsinki Kumpula","2021","3","1","23:00","3.3","3.5","2.9","74","5.3","5.9"
"Helsinki Kumpula","2021","3","2","00:00","2.9","3.3","2.3","76","4.6","5.3"
"Helsinki Kumpula","2021","3","2","01:00","3.3","3.9","2.7","75","5.2","6.1"
"Helsinki Kumpula","2021","3","2","02:00","3.9","4.4","3.4","72","5.7","6.8"
"Helsinki Kumpula","2021","3","2","03:00","3.6","4.2","3.1","74","6.1","6.9"
"Helsinki Kumpula","2021","3","2","04:00","3","3.4","2.5","76","5.3","6.7"
"Helsinki Kumpula","2021","3","2","05:00","2.5","2.9","2.1","77","5","6.1"
"Helsinki Kumpula","2021","3","2","06:00","1.9","2.1","1.7","78","5.2","-"
"Helsinki Kumpula","2021","3","2","07:00","2.4","2.9","2.1","75","6","6.6"
"Helsinki Kumpula","2021","3","2","08:00","3.4","3.7","3","70","6.3","7.3"
"Helsinki Kumpula","2021","3","2","09:00","4.2","4.6","3.7","66","6.6","7.3"
"Helsinki Kumpula","2021","3","2","10:00","4.9","5.2","4.5","62","6.4","8.5"
"Helsinki Kumpula","2021","3","2","11:00","5.4","5.6","5.1","60","7.3","8"
"Helsinki Kumpula","2021","3","2","12:00","6.1","6.4","5.6","56","5.8","8.4"
"Helsinki Kumpula","2021","3","2","13:00","6.4","6.5","6.2","53","6.5","7.8"
"Helsinki Kumpula","2021","3","2","14:00","6.4","6.5","6.2","53","7.1","8.2"
"Helsinki Kumpula","2021","3","2","15:00","5.8","6.2","5","55","5.7","6.9"
"Helsinki Kumpula","2021","3","2","16:00","4.5","5.3","3.7","60","5.4","6.7"
"Helsinki Kumpula","2021","3","2","17:00","3.2","3.7","2.8","68","6","6.7"
"Helsinki Kumpula","2021","3","2","18:00","2.7","3.1","2.3","71","6.2","6.8"
"Helsinki Kumpula","2021","3","2","19:00","1.9","2.5","1.5","74","5.9","6.4"
"Helsinki Kumpula","2021","3","2","20:00","1.3","1.7","0.9","77","5.7","6"
"Helsinki Kumpula","2021","3","2","21:00","0.6","1","0.3","79","5.7","6.5"
"Helsinki Kumpula","2021","3","2","22:00","0.3","0.7","0","80","5.6","6.2"
"Helsinki Kumpula","2021","3","2","23:00","0.2","0.5","0","81","6.5","7"
"Helsinki Kumpula","2021","3","3","00:00","-0.1","0.1","-0.4","83","5.8","6.3"
"Helsinki Kumpula","2021","3","3","01:00","-0.3","0","-0.7","85","5.8","6.5"
"Helsinki Kumpula","2021","3","3","02:00","-0.6","-0.4","-0.8","86","5.8","6.7"
"Helsinki Kumpula","2021","3","3","03:00","-0.8","-0.5","-1.1","86","5.7","6"
"Helsinki Kumpula","2021","3","3","04:00","-1.2","-1.1","-1.4","87","5.3","5.9"
"Helsinki Kumpula","2021","3","3","05:00","-1.2","-1","-1.4","88","5.9","6.2"
"Helsinki Kumpula","2021","3","3","06:00","-1.2","-1","-1.4","88","5.7","6.2"
"Helsinki Kumpula","2021","3","3","07:00","-0.3","0.5","-1","84","5.3","5.9"
"Helsinki Kumpula","2021","3","3","08:00","1.2","2","0.5","77","5.2","5.6"
"Helsinki Kumpula","2021","3","3","09:00","3.1","3.6","2.1","69","5.5","6.3"
"Helsinki Kumpula","2021","3","3","10:00","4.1","4.6","3.6","63","5.8","6.8"
"Helsinki Kumpula","2021","3","3","11:00","5","5.6","4","60","6","6.9"
"Helsinki Kumpula","2021","3","3","12:00","5.7","6.2","5.4","58","7","8.1"
"Helsinki Kumpula","2021","3","3","13:00","6.5","6.9","6","56","7.3","8.6"
"Helsinki Kumpula","2021","3","3","14:00","7","7.5","6.5","57","5.8","6.8"
"Helsinki Kumpula","2021","3","3","15:00","5.4","7.6","4.4","66","5.5","6.9"
"Helsinki Kumpula","2021","3","3","16:00","5","5.9","4.3","70","5.1","7"
"Helsinki Kumpula","2021","3","3","17:00","4.7","5.4","4.1","75","6.3","7.3"
"Helsinki Kumpula","2021","3","3","18:00","3.4","4.2","2.7","87","5.4","7"
"Helsinki Kumpula","2021","3","3","19:00","2.5","2.8","2.3","90","5.8","6.6"
"Helsinki Kumpula","2021","3","3","20:00","2.3","2.6","1.9","88","5.6","6.2"
"Helsinki Kumpula","2021","3","3","21:00","1.6","2","1.3","87","5.3","6.3"
"Helsinki Kumpula","2021","3","3","22:00","0.8","1.5","-0.1","88","4.5","6"
"Helsinki Kumpula","2021","3","3","23:00","-1.2","-0.2","-1.6","96","3.5","4.3"
"Helsinki Kumpula","2021","3","4","00:00","-1.7","-1.3","-2","95","4.4","4.7"
"Helsinki Kumpula","2021","3","4","01:00","-2","-1.7","-2.2","91","4.7","4.9"
"Helsinki Kumpula","2021","3","4","02:00","-2","-1.8","-2.2","85","4.5","4.8"
"Helsinki Kumpula","2021","3","4","03:00","-2.2","-2.1","-2.4","82","4.2","4.8"
"Helsinki Kumpula","2021","3","4","04:00","-2.5","-2.4","-2.6","80","4.8","5.1"
"Helsinki Kumpula","2021","3","4","05:00","-2.8","-2.5","-3","78","4.4","4.9"
"Helsinki Kumpula","2021","3","4","06:00","-2.9","-2.9","-3.1","77","4.6","5.1"
"Helsinki Kumpula","2021","3","4","07:00","-2.6","-2","-3","71","4.7","5.4"
"Helsinki Kumpula","2021","3","4","08:00","-1.8","-1.5","-2.1","65","4.8","5.9"
"Helsinki Kumpula","2021","3","4","09:00","-1.3","-0.8","-1.6","61","5","-"
"Helsinki Kumpula","2021","3","4","10:00","-0.7","-0.2","-1","57","5","6.1"
"Helsinki Kumpula","2021","3","4","11:00","0.2","0.7","-0.3","50","5.7","6.9"
"Helsinki Kumpula","2021","3","4","12:00","1.2","1.6","0.7","44","5.2","6.7"
"Helsinki Kumpula","2021","3","4","13:00","1.6","1.9","1.3","44","5.1","6.5"
"Helsinki Kumpula","2021","3","4","14:00","1.3","1.8","0.6","43","6.1","6.7"
"Helsinki Kumpula","2021","3","4","15:00","-0.5","0.6","-1.4","64","4.8","6.8"
"Helsinki Kumpula","2021","3","4","16:00","-1.7","-1.3","-1.9","77","2.1","3.1"
"Helsinki Kumpula","2021","3","4","17:00","-2.1","-1.6","-2.9","84","2.9","3.3"
"Helsinki Kumpula","2021","3","4","18:00","-3","-2.8","-3.2","87","3.6","3.8"
"Helsinki Kumpula","2021","3","4","19:00","-2.6","-2.4","-2.8","75","3.6","4.3"
"Helsinki Kumpula","2021","3","4","20:00","-2.5","-2.4","-2.6","71","3.6","4.3"
"Helsinki Kumpula","2021","3","4","21:00","-2.7","-2.4","-3","62","4.8","6.5"
"Helsinki Kumpula","2021","3","4","22:00","-3.4","-3","-3.8","60","4.8","5.8"
"Helsinki Kumpula","2021","3","4","23:00","-4.4","-3.9","-4.8","62","3.3","3.7"
"Helsinki Kumpula","2021","3","5","00:00","-5.2","-4.8","-5.9","65","2.9","3.8"
"Helsinki Kumpula","2021","3","5","01:00","-5.9","-5.7","-6","68","4","4.7"
"Helsinki Kumpula","2021","3","5","02:00","-6.3","-5.9","-6.7","67","4.1","4.8"
"Helsinki Kumpula","2021","3","5","03:00","-6.7","-6.4","-6.8","67","3.6","4.7"
"Helsinki Kumpula","2021","3","5","04:00","-7.4","-6.9","-7.7","70","3.8","4.7"
"Helsinki Kumpula","2021","3","5","05:00","-7.8","-7.6","-7.9","73","3.9","4.9"
"Helsinki Kumpula","2021","3","5","06:00","-7.8","-7.7","-7.9","73","2.9","3.3"
"Helsinki Kumpula","2021","3","5","07:00","-6.3","-4.9","-7.7","67","3.2","3.8"
"Helsinki Kumpula","2021","3","5","08:00","-3.9","-2.8","-5","55","3.2","3.6"
"Helsinki Kumpula","2021","3","5","09:00","-2.7","-2.3","-2.9","49","3.8","4.8"
"Helsinki Kumpula","2021","3","5","10:00","-2.1","-1.6","-2.4","46","3.9","4.8"
"Helsinki Kumpula","2021","3","5","11:00","-1.6","-1.3","-1.9","44","4.8","6.2"
"Helsinki Kumpula","2021","3","5","12:00","-1","-0.4","-1.5","42","4.7","5.5"
"Helsinki Kumpula","2021","3","5","13:00","-0.4","-0.2","-0.7","41","5.3","6.1"
"Helsinki Kumpula","2021","3","5","14:00","-1","-0.1","-1.7","44","4.6","5.8"
"Helsinki Kumpula","2021","3","5","15:00","-1.4","-1.2","-1.7","46","4.1","4.8"
"Helsinki Kumpula","2021","3","5","16:00","-2.2","-1.7","-2.8","49","3.6","4.4"
"Helsinki Kumpula","2021","3","5","17:00","-3.1","-2.8","-3.6","53","3","3.4"
"Helsinki Kumpula","2021","3","5","18:00","-4","-3.6","-4.3","59","3.2","3.5"
"Helsinki Kumpula","2021","3","5","19:00","-4.7","-4.3","-5","64","3.8","4.2"
"Helsinki Kumpula","2021","3","5","20:00","-5","-4.7","-5.4","66","3.5","3.8"
"Helsinki Kumpula","2021","3","5","21:00","-5.6","-5.3","-5.8","69","3.5","3.9"
"Helsinki Kumpula","2021","3","5","22:00","-6.4","-5.8","-6.8","74","3.5","4"
"Helsinki Kumpula","2021","3","5","23:00","-6.8","-6.5","-7","76","3.5","4.6"
"Helsinki Kumpula","2021","3","6","00:00","-7","-6.8","-7.4","79","3.6","4"
"Helsinki Kumpula","2021","3","6","01:00","-7.3","-7.1","-7.5","81","3.6","4.3"
"Helsinki Kumpula","2021","3","6","02:00","-7.2","-7","-7.4","83","3.3","3.8"
"Helsinki Kumpula","2021","3","6","03:00","-7.1","-6.5","-7.5","85","3.8","4.3"
"Helsinki Kumpula","2021","3","6","04:00","-6","-5.7","-6.5","83","4.4","5"
"Helsinki Kumpula","2021","3","6","05:00","-4.8","-3.8","-5.7","83","4.6","5"
"Helsinki Kumpula","2021","3","6","06:00","-2.6","-1.8","-3.9","79","6.5","7.7"
"Helsinki Kumpula","2021","3","6","07:00","-0.9","-0.4","-1.8","79","7.9","9.2"
"Helsinki Kumpula","2021","3","6","08:00","-0.7","-0.4","-0.9","84","9","9.8"
"Helsinki Kumpula","2021","3","6","09:00","-0.6","-0.3","-0.7","93","9.3","10"
"Helsinki Kumpula","2021","3","6","10:00","-0.2","-0.1","-0.2","95","7.9","9"
"Helsinki Kumpula","2021","3","6","11:00","0","0.1","-0.2","96","7.1","8.1"
"Helsinki Kumpula","2021","3","6","12:00","0.2","0.4","0.1","96","7","7.5"
"Helsinki Kumpula","2021","3","6","13:00","0.5","0.7","0.4","95","6.8","7.2"
"Helsinki Kumpula","2021","3","6","14:00","1","1.2","0.7","91","5.9","6.5"
"Helsinki Kumpula","2021","3","6","15:00","1.3","1.8","1","87","6.8","7.5"
"Helsinki Kumpula","2021","3","6","16:00","2","2.2","1.8","79","7.1","7.8"
"Helsinki Kumpula","2021","3","6","17:00","1.5","1.9","1.3","80","5.8","6.7"
"Helsinki Kumpula","2021","3","6","18:00","1.6","2","1.3","79","6.8","9.1"
"Helsinki Kumpula","2021","3","6","19:00","0.9","1.5","0.7","92","7.1","9.3"
"Helsinki Kumpula","2021","3","6","20:00","0.6","0.8","0.2","93","6.3","7.2"
"Helsinki Kumpula","2021","3","6","21:00","0","0.4","-0.5","79","7.5","8.2"
"Helsinki Kumpula","2021","3","6","22:00","-1.3","-0.2","-1.8","70","9.4","10.5"
"Helsinki Kumpula","2021","3","6","23:00","-2.1","-1.6","-2.5","41","10.2","11.6"
"Helsinki Kumpula","2021","3","7","00:00","-2.8","-2.4","-3","45","9.3","12.9"
"Helsinki Kumpula","2021","3","7","01:00","-3.8","-3.1","-4.5","59","7.1","9.4"
"Helsinki Kumpula","2021","3","7","02:00","-4.7","-4.2","-5.3","72","7.2","9.3"
"Helsinki Kumpula","2021","3","7","03:00","-5.2","-4.6","-5.8","80","7","9.2"
"Helsinki Kumpula","2021","3","7","04:00","-5.8","-5.6","-6","84","6.8","8.6"
"Helsinki Kumpula","2021","3","7","05:00","-6.4","-5.9","-7.1","80","5.2","6.8"
"Helsinki Kumpula","2021","3","7","06:00","-6.1","-5.3","-6.8","77","5.7","7.4"
"Helsinki Kumpula","2021","3","7","07:00","-5.2","-5","-5.4","72","6.9","7.5"
"Helsinki Kumpula","2021","3","7","08:00","-4.7","-4.4","-5.2","75","6.8","7.8"
"Helsinki Kumpula","2021","3","7","09:00","-4.1","-4","-4.3","76","7.4","8.4"
"Helsinki Kumpula","2021","3","7","10:00","-3.8","-3.5","-4","81","6.7","8"
"Helsinki Kumpula","2021","3","7","11:00","-2.9","-2.3","-3.4","80","6.2","7.1"
"Helsinki Kumpula","2021","3","7","12:00","-2.3","-2","-2.6","76","5.5","7.4"
"Helsinki Kumpula","2021","3","7","13:00","-2.3","-1.9","-3","67","6.6","8.3"
"Helsinki Kumpula","2021","3","7","14:00","-3.4","-2.5","-4","76","6","8.1"
"Helsinki Kumpula","2021","3","7","15:00","-3.7","-3.4","-4.1","67","5.8","6.8"
"Helsinki Kumpula","2021","3","7","16:00","-4.3","-4.1","-4.5","73","5.4","6.3"
"Helsinki Kumpula","2021","3","7","17:00","-4.6","-4.5","-4.7","76","5.3","6.2"
"Helsinki Kumpula","2021","3","7","18:00","-4.9","-4.7","-4.9","79","6","7"
"Helsinki Kumpula","2021","3","7","19:00","-4.9","-4.7","-5.2","73","6.2","7.5"
"Helsinki Kumpula","2021","3","7","20:00","-5.4","-5.2","-5.5","71","5.1","6.5"
"Helsinki Kumpula","2021","3","7","21:00","-5.2","-5.1","-5.3","74","5.5","6.9"
"Helsinki Kumpula","2021","3","7","22:00","-5.1","-5","-5.2","76","5.4","6.8"
"Helsinki Kumpula","2021","3","7","23:00","-5","-5","-5.1","77","5.2","6.7"
"Helsinki Kumpula","2021","3","8","00:00","-5.1","-5","-5.3","75","5.2","6"
"Helsinki Kumpula","2021","3","8","01:00","-5.4","-5.2","-5.5","75","5","6.2"
"Helsinki Kumpula","2021","3","8","02:00","-5.7","-5.5","-5.9","79","4.2","5"
"Helsinki Kumpula","2021","3","8","03:00","-6.1","-5.9","-6.3","76","4.5","6.1"
"Helsinki Kumpula","2021","3","8","04:00","-6.7","-6.4","-7.1","77","5","6.1"
"Helsinki Kumpula","2021","3","8","05:00","-7.5","-7.1","-7.8","76","3.7","4.6"
"Helsinki Kumpula","2021","3","8","06:00","-8.1","-7.8","-8.3","78","4.2","4.8"
"Helsinki Kumpula","2021","3","8","07:00","-8.2","-7.7","-8.4","75","4.8","6.1"
"Helsinki Kumpula","2021","3","8","08:00","-7.8","-7.2","-8.4","69","4.5","6.1"
"Helsinki Kumpula","2021","3","8","09:00","-6.7","-6.2","-7.3","63","4.6","5.2"
"Helsinki Kumpula","2021","3","8","10:00","-6.2","-5.6","-6.6","60","4.5","5.6"
"Helsinki Kumpula","2021","3","8","11:00","-5","-4.4","-5.7","53","4","4.6"
"Helsinki Kumpula","2021","3","8","12:00","-4","-3.5","-4.4","46","4","5.3"
"Helsinki Kumpula","2021","3","8","13:00","-3.3","-2.8","-3.8","41","3.7","4.5"
"Helsinki Kumpula","2021","3","8","14:00","-3.1","-2.8","-3.6","40","3.3","4"
"Helsinki Kumpula","2021","3","8","15:00","-3.5","-3.1","-3.7","40","3.2","3.9"
"Helsinki Kumpula","2021","3","8","16:00","-3.9","-3.6","-4.6","39","2.6","3.4"
"Helsinki Kumpula","2021","3","8","17:00","-5.2","-4.5","-5.6","44","2.3","2.8"
"Helsinki Kumpula","2021","3","8","18:00","-5.6","-5.4","-6","45","3.1","3.6"
"Helsinki Kumpula","2021","3","8","19:00","-7","-6","-7.6","53","3","3.6"
"Helsinki Kumpula","2021","3","8","20:00","-7.6","-7.2","-8","58","1.4","2.6"
"Helsinki Kumpula","2021","3","8","21:00","-8.2","-7.3","-9.1","63","1.1","2.4"
"Helsinki Kumpula","2021","3","8","22:00","-8.6","-8.2","-9.1","69","0.6","1.1"
"Helsinki Kumpula","2021","3","8","23:00","-8.6","-8.3","-9.2","72","0.8","1"
"Helsinki Kumpula","2021","3","9","00:00","-8.9","-8.6","-9.2","76","1.7","2.4"
"Helsinki Kumpula","2021","3","9","01:00","-8.4","-8","-9.2","75","2.3","2.8"
"Helsinki Kumpula","2021","3","9","02:00","-7.4","-7.2","-8","73","2.2","2.7"
"Helsinki Kumpula","2021","3","9","03:00","-7.4","-7.3","-7.5","79","2.2","2.7"
"Helsinki Kumpula","2021","3","9","04:00","-7.1","-6.8","-7.4","87","2.3","3.2"
"Helsinki Kumpula","2021","3","9","05:00","-6.2","-5.2","-6.8","92","4.2","4.6"
"Helsinki Kumpula","2021","3","9","06:00","-4.6","-4.2","-5.2","94","3.9","4.6"
"Helsinki Kumpula","2021","3","9","07:00","-3.7","-3.6","-4.2","93","4.8","5.9"
"Helsinki Kumpula","2021","3","9","08:00","-3.6","-3.5","-3.8","91","6.1","6.9"
"Helsinki Kumpula","2021","3","9","09:00","-3.7","-3.5","-3.8","90","7","8.1"
"Helsinki Kumpula","2021","3","9","10:00","-3.7","-3.6","-4.1","90","7.7","9.7"
"Helsinki Kumpula","2021","3","9","11:00","-4.4","-4.1","-4.7","93","10.7","11.3"
"Helsinki Kumpula","2021","3","9","12:00","-4.8","-4.6","-5.1","93","10.7","11.9"
"Helsinki Kumpula","2021","3","9","13:00","-5.3","-5","-5.7","92","10.9","12.6"
"Helsinki Kumpula","2021","3","9","14:00","-5.9","-5.5","-6.5","90","10","13"
"Helsinki Kumpula","2021","3","9","15:00","-6.9","-6.5","-7.2","89","8.6","9.7"
"Helsinki Kumpula","2021","3","9","16:00","-7.5","-7.2","-7.9","88","8.9","9.9"
"Helsinki Kumpula","2021","3","9","17:00","-8.3","-7.9","-8.9","87","7.6","9.5"
"Helsinki Kumpula","2021","3","9","18:00","-9.5","-9","-10.1","84","7.6","8.6"
"Helsinki Kumpula","2021","3","9","19:00","-10.4","-10.1","-10.9","77","7.9","8.6"
"Helsinki Kumpula","2021","3","9","20:00","-11.2","-10.9","-11.4","76","7.2","7.8"
"Helsinki Kumpula","2021","3","9","21:00","-11.9","-11.4","-12.5","78","7","7.9"
"Helsinki Kumpula","2021","3","9","22:00","-13.1","-12.5","-13.6","77","7.1","7.5"
"Helsinki Kumpula","2021","3","9","23:00","-14","-13.6","-14.3","77","7","7.6"
